time,true_distance,true_velocity,true_acceleration,d_linenc,d_kalman,d_error
0,1.5e-06,0.001,1,0,1,-0.999999
0.001,4e-06,0.002,1,0,1,-0.999996
0.002,7.5e-06,0.003,1,0,1,-0.999992
0.003,1.2e-05,0.004,1,0,1,-0.999988
0.004,1.75e-05,0.005,1,0,1,-0.999982
0.005,2.4e-05,0.006,1,0,1,-0.999976
0.006,3.15e-05,0.007,1,0,1,-0.999969
0.007,4e-05,0.008,1,0,1,-0.99996
0.008,4.95e-05,0.009,1,0,1,-0.999951
0.009,6e-05,0.01,1,0,1,-0.99994
0.01,7.15e-05,0.011,1,0,1,-0.999928
0.011,8.4e-05,0.012,1,0,1,-0.999916
0.012,9.75e-05,0.013,1,0,1,-0.999902
0.013,0.000112,0.014,1,0,1,-0.999888
0.014,0.0001275,0.015,1,0,1,-0.999873
0.015,0.000144,0.016,1,0,1,-0.999856
0.016,0.0001615,0.017,1,0,1,-0.999838
0.017,0.00018,0.018,1,0,1,-0.99982
0.018,0.0001995,0.019,1,0,1,-0.999801
0.019,0.00022,0.02,1,0,1,-0.99978
0.02,0.0002415,0.021,1,0,1,-0.999758
0.021,0.000264,0.022,1,0,1,-0.999736
0.022,0.0002875,0.023,1,0,1,-0.999713
0.023,0.000312,0.024,1,0,1,-0.999688
0.024,0.0003375,0.025,1,0,1,-0.999663
0.025,0.000364,0.026,1,0,1,-0.999636
0.026,0.0003915,0.027,1,0,1,-0.999609
0.027,0.00042,0.028,1,0,1,-0.99958
0.028,0.0004495,0.029,1,0,1,-0.999551
0.029,0.00048,0.03,1,0,1,-0.99952
0.03,0.0005115,0.031,1,0,1,-0.999488
0.031,0.000544,0.032,1,0,1,-0.999456
0.032,0.0005775,0.033,1,0,1,-0.999422
0.033,0.000612,0.034,1,0,1,-0.999388
0.034,0.0006475,0.035,1,0,1,-0.999353
0.035,0.000684,0.036,1,0,1,-0.999316
0.036,0.0007215,0.037,1,0,1,-0.999278
0.037,0.00076,0.038,1,0,1,-0.99924
0.038,0.0007995,0.039,1,0,1,-0.999201
0.039,0.00084,0.04,1,0,1,-0.99916
0.04,0.0008815,0.041,1,0,1,-0.999119
0.041,0.000924,0.042,1,0,1,-0.999076
0.042,0.0009675,0.043,1,0,1,-0.999032
0.043,0.001012,0.044,1,0,1,-0.998988
0.044,0.0010575,0.045,1,0,1,-0.998942
0.045,0.001104,0.046,1,0,1,-0.998896
0.046,0.0011515,0.047,1,0,1,-0.998848
0.047,0.0012,0.048,1,0,1,-0.9988
0.048,0.0012495,0.049,1,0,1,-0.998751
0.049,0.0013,0.05,1,0,1,-0.9987
0.05,0.0013515,0.051,1,0,1,-0.998649
0.051,0.001404,0.052,1,0,1,-0.998596
0.052,0.0014575,0.053,1,0,1,-0.998542
0.053,0.001512,0.054,1,0,1,-0.998488
0.054,0.0015675,0.055,1,0,1,-0.998433
0.055,0.001624,0.056,1,0,1,-0.998376
0.056,0.0016815,0.057,1,0,1,-0.998318
0.057,0.00174,0.058,1,0,1,-0.99826
0.058,0.0017995,0.059,1,0,1,-0.9982
0.059,0.00186,0.06,1,0,1,-0.99814
0.06,0.0019215,0.061,1,0,1,-0.998079
0.061,0.001984,0.062,1,0,1,-0.998016
0.062,0.0020475,0.0629999,1,0,1,-0.997953
0.063,0.002112,0.064,1,0,1,-0.997888
0.064,0.0021775,0.065,1,0,1,-0.997823
0.065,0.002244,0.066,1,0,1,-0.997756
0.066,0.0023115,0.067,1,0,1,-0.997688
0.067,0.00238,0.068,1,0,1,-0.99762
0.068,0.0024495,0.069,1,0,1,-0.99755
0.069,0.00252,0.07,1,0,1,-0.99748
0.07,0.0025915,0.071,1,0,1,-0.997409
0.071,0.002664,0.072,1,0,1,-0.997336
0.072,0.0027375,0.073,1,0,1,-0.997262
0.073,0.002812,0.074,1,0,1,-0.997188
0.074,0.0028875,0.075,1,0,1,-0.997113
0.075,0.002964,0.076,1,0,1,-0.997036
0.076,0.0030415,0.077,1,0,1,-0.996958
0.077,0.00312,0.078,1,0,1,-0.99688
0.078,0.0031995,0.079,1,0,1,-0.9968
0.079,0.00328,0.08,1,0,1,-0.99672
0.08,0.0033615,0.081,1,0,1,-0.996638
0.081,0.003444,0.082,1,0,1,-0.996556
0.082,0.0035275,0.083,1,0,1,-0.996472
0.083,0.003612,0.084,1,0,1,-0.996388
0.084,0.0036975,0.085,1,0,1,-0.996302
0.085,0.003784,0.086,1,0,1,-0.996216
0.086,0.0038715,0.087,1,0,1,-0.996128
0.087,0.00396,0.088,1,0,1,-0.99604
0.088,0.0040495,0.089,1,0,1,-0.995951
0.089,0.00414,0.09,1,0,1,-0.99586
0.09,0.0042315,0.091,1,0,1,-0.995768
0.091,0.004324,0.092,1,0,1,-0.995676
0.092,0.0044175,0.093,1,0,1,-0.995583
0.093,0.004512,0.094,1,0,1,-0.995488
0.094,0.0046075,0.095,1,0,1,-0.995393
0.095,0.004704,0.096,1,0,1,-0.995296
0.096,0.0048015,0.097,1,0,1,-0.995198
0.097,0.0049,0.098,1,0,1,-0.9951
0.098,0.0049995,0.099,1,0,1,-0.995
0.099,0.0051,0.1,1,0,1,-0.9949
0.1,0.0052015,0.101,1,0,1,-0.994798
0.101,0.005304,0.102,1,0,1,-0.994696
0.102,0.0054075,0.103,1,0,1,-0.994592
0.103,0.005512,0.104,1,0,1,-0.994488
0.104,0.0056175,0.105,1,0,1,-0.994383
0.105,0.005724,0.106,1,0,1,-0.994276
0.106,0.0058315,0.107,1,0,1,-0.994169
0.107,0.00594,0.108,1,0,1,-0.99406
0.108,0.0060495,0.109,1,0,1,-0.99395
0.109,0.00616,0.11,1,0,1,-0.99384
0.11,0.0062715,0.111,1,0,1,-0.993729
0.111,0.006384,0.112,1,0,1,-0.993616
0.112,0.0064975,0.113,1,0,1,-0.993502
0.113,0.006612,0.114,1,0,1,-0.993388
0.114,0.0067275,0.115,1,0,1,-0.993272
0.115,0.006844,0.116,1,0,1,-0.993156
0.116,0.0069615,0.117,1,0,1,-0.993038
0.117,0.00708,0.118,1,0,1,-0.99292
0.118,0.0071995,0.119,1,0,1,-0.9928
0.119,0.00732,0.12,1,0,1,-0.99268
0.12,0.0074415,0.121,1,0,1,-0.992558
0.121,0.007564,0.122,1,0,1,-0.992436
0.122,0.0076875,0.123,1,0,1,-0.992312
